Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Bighorn River|a river that flows from central Wyoming to the Yellowstone River in southern Montana
Bight of Benin|a broad indentation of the Gulf of Guinea in western Africa
Big Sioux River|a river that rises in northeastern South Dakota and flows southward to join the Missouri River at Sioux City, Iowa
Biscayne Bay|a narrow bay formed by an inlet from the Atlantic Ocean in southeastern Florida
Bismarck Sea|an arm of the South Pacific to the southwest of the Bismarck Archipelago
Black Forest|a hilly forest region in southwestern Germany
Black Hills|mountains in southwestern South Dakota and northeastern Wyoming; sacred to the Sioux (whites settling in the Black Hills led to the Battle of Little Bighorn); site of Mount Rushmore
Euxine Sea|a sea between Europe and Asia; a popular resort area of eastern Europeans
Blue Nile|a headstream of the Nile; joins the White Nile at Khartoum to form the Nile
Blue Ridge|a range of the Appalachians extending from southern Pennsylvania to northern Georgia
Po Hai|an inlet of the Yellow Sea, on the coast of Eastern China
Bootes|a constellation in the northern hemisphere near Ursa Major
Bosporus|a strait connecting the Mediterranean and the Black Sea; separates the European and Asian parts of Turkey; an important shipping route
Bougainville Trench|a depression in the floor of the Pacific Ocean between New Guinea and the Solomon Islands
Brahmaputra River|an Asian river; flows into the Bay of Bengal
Brazos River|a river that rises in Mexico and flows across Texas into the Gulf of Mexico
Brenner Pass|an Alpine mountain pass connecting Innsbruck in Austria with Bolzano in Italy that has long been a route for trade and for invasions
Bristol Channel|an inlet of the Atlantic Ocean between southern Wales and southwestern England
Buzzards Bay|an inlet of the Atlantic Ocean in southeastern Massachusetts
Caelum|a constellation in the southern hemisphere near Columba and Eridanus
Galilean satellite|the second largest of Jupiter's satellites
Caloosahatchee River|a river in southern Florida that flows westerly to the Gulf of Mexico; forms the western end of the Cross-Florida Waterway
River Cam|a river in east central England that flows past Cambridge to join the Ouse River
Cambrian Mountains|a rugged plateau that runs north to south through central Wales
Canadian River|a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
Horseshoe Falls|a part of Niagara Falls in Ontario
Lake Canandaigua|a glacial lake in central New York; one of the Finger Lakes
Cancer|a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
Great Dog|a constellation to the southeast of Orion; contains Sirius
Little Dog|a constellation to the east of Orion; contains Procyon
Canopus|supergiant star 650 light years from Earth; second brightest star in the sky
Cantabrian Mountains|a range of mountains in northern Spain along the coast of the Bay of Biscay
Cape Kennedy|a sandy promontory (formerly Cape Kennedy) extending into the Atlantic Ocean from a barrier island off the eastern coast of Florida; the site of a NASA center for spaceflight
Cape Cod Bay|the southern part of Massachusetts Bay
Cape Fear River|a river in North Carolina that flows southeast to the Atlantic Ocean at Cape Fear
Cape Sable|a promontory on the far southern part of Nova Scotia
Cape Sable|a cape at the southwest tip of Florida; the southernmost part of the United States mainland
Cape Trafalgar|a small cape in southwestern Spain; "Nelson defeated the French and Spanish fleets off Cape Trafalgar in 1805"
Cape York|the northern tip of Cape York Peninsula at the Torres Strait; the northernmost point of the Australian mainland
Cape York Peninsula|a peninsula in Queensland in northeastern Australia between the Gulf of Carpentaria and the Coral Sea
Capricornus|a faint zodiacal constellation in the southern hemisphere; between Sagittarius and Aquarius
Caribbean Sea|an arm of the Atlantic Ocean between North and South America; the origin of the Gulf stream
Carina|a keel-shaped constellation in the southern hemisphere; contains the star Canopus
Carlsbad Caverns|a group of caverns in southeastern New Mexico noted for their stalactites and stalagmites
Carpathian Mountains|a mountain range in central Europe that extends from Slovakia and southern Poland southeastward through western Ukraine to northeastern Romania; a popular resort area
Cascade Range|a mountain range in the northwestern United States extending through Washington and Oregon and northern California; a part of the Coast Range
Caspian Sea|a large saltwater lake between Iran and Russia fed by the Volga River; the largest inland body of water in the world
Cassiopeia|a W-shaped constellation in the northern hemisphere near Polaris
Alpha Geminorum|a multiple star with 6 components; second brightest in Gemini; close to Pollux
Cataract Canyon|a tributary of the Grand Canyon
Catskill Mountains|a range of the Appalachians to the west of the Hudson in southeastern New York; includes many popular resort areas
Caucasus|the mountain range in Caucasia between the Black Sea and the Caspian Sea that forms part of the traditional border between Europe and Asia
Lake Cayuga|a glacial lake in central New York; the longest of the Finger Lakes
Centaurus|a conspicuous constellation in the southern hemisphere near the Southern Cross
Cepheus|a faint constellation in the northern hemisphere near Cassiopeia and the pole star
Ceres|the largest asteroid and the first discovered
Cetus|a large constellation on the equator near Pisces and Aquarius
Chamaeleon|a faint constellation in the polar region of the southern hemisphere near Apus and Mensa
Chao Phraya|a river in Thailand formed by the confluence of the Nan and Ping Rivers; flows southward past Bangkok and empties into the Gulf of Thailand
