Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Freya|(Norse mythology) goddess of love and fecundity; daughter of Njorth and sister of Frey
Frigg|(Norse mythology) goddess of the heavens and married love; wife of Odin
Heimdall|(Norse mythology) god of dawn and light; guardian of Asgard
Hel|(Norse mythology) goddess of the dead and queen of the underworld
Norse deity|(Norse mythology) one of the Aesir having a strong and beautiful body but a dull mind
Hoth|(Norse mythology) a blind god; misled by Loki, he kills his brother Balder by throwing a shaft of mistletoe
Idun|(Norse mythology) goddess of spring and wife of Bragi; guarded the apples that kept the gods eternally young
Jotun|(Norse mythology) one of a group of giants often in conflict with the Aesir
Norse deity|(Norse mythology) trickster; god of discord and mischief; contrived death of Balder and was overcome by Thor
Mimir|(Norse mythology) giant who lives in the roots of Yggdrasil and guards the well of wisdom
Norse deity|(Norse mythology) wife of Balder
Njord|(Norse mythology) chief of the Vanir; god of the sea and winds and prosperity; father of Frey and Freya; sometimes subsumes Teutonic Nerthus
Urd|goddess of fate: a giantess who personified the past
Verdandi|goddess of fate: an elf who personified the present
Skuld|goddess of fate: a dwarf who personified the future
Norse deity|(Norse mythology) ruler of the Aesir; supreme god of war and poetry and knowledge and wisdom (for which he gave an eye) and husband of Frigg; identified with the Teutonic Wotan
Norse deity|(Norse mythology) wife of Thor and guardian of the home
Norse deity|(Norse mythology) wife of Loki; held a cup over him during his punishment to spare him the pain of drops of poison
Norse deity|(Norse mythology) god of thunder and rain and farming; pictured as wielding a hammer emblematic of the thunderbolt; identified with Teutonic Donar
Tyr|(Norse mythology) god of war and strife and son of Odin; identified with Anglo-Saxon Tiu
Ull|(Norse mythology) one of the Aesir known for his beauty and skill with bow and skis; son of Sif and stepson of Thor
Norse deity|(Norse mythology) one of the Aesir and avenger of Balder; son of Odin
Vitharr|(Norse mythology) one of the Aesir; son of Odin; avenges his parent by slaying Fenrir at Ragnarok
Yggdrasil|(Norse mythology) a huge ash tree whose roots and branches hold the earth and Heaven and Hell together
Wayland the Smith|(European mythology) a supernatural smith and king of the elves; identified with Norse Volund
Teutonic deity|(German mythology) a deity worshipped by the ancient Teutons
Teutonic deity|the Teutonic god of thunder; counterpart of Norse Thor
Nerthus|the Teutonic goddess of fertility; later identified with Norse Njord
Teutonic deity|supreme Teutonic god; counterpart of Norse Odin and Anglo-Saxon Woden
Anglo-Saxon deity|(Anglo-Saxon mythology) a deity worshipped by the Anglo-Saxons
Anglo-Saxon deity|god of war and sky; counterpart of Norse Tyr
Woden|chief god; counterpart of Norse Odin and Teutonic Wotan
Wyrd|fate personified; any one of the three Weird Sisters
Adam|(Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race
Eve|(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden
Cain|(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out of jealousy and was exiled by God
Abel|(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cain
Seth|(Old Testament) third son of Adam and Eve; given by God in place of the murdered Abel
James Bond|British secret operative 007 in novels by Ian Fleming
Brunhild|a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide
Paul Bunyan|a legendary giant lumberjack of the north woods of the United States and Canada; "Paul Bunyan had a blue ox named Babe"; "the lakes of Minnesota began when Paul Bunyan and Babe's footprints filled with water"
Tantalus|(Greek mythology) a wicked king and son of Zeus; condemned in Hades to stand in water that receded when he tried to drink and beneath fruit that receded when he reached for it
Phrygian deity|deity of the ancient Phrygians of west central Asia Minor
Cybele|great nature goddess of ancient Phrygia in Asia Minor; counterpart of Greek Rhea and Roman Ops
Cassandra|(Greek mythology) a prophetess in Troy during the Trojan War whose predictions were true but were never believed
King Oedipus|(Greek mythology) a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles
Falstaff|a dissolute character in Shakespeare's plays
Faust|an alchemist of German legend who sold his soul to Mephistopheles in exchange for knowledge
Frankenstein's monster|the monster created by Frankenstein in a gothic novel by Mary Wollstonecraft Shelley (the creator's name is commonly used to refer to his creation)
Helen of Troy|(Greek mythology) the beautiful daughter of Zeus and Leda who was abducted by Paris; the Greek army sailed to Troy to get her back which resulted in the Trojan War
Captain Horatio Hornblower|a fictional English admiral during the Napoleonic Wars in novels written by C. S. Forester
Commissaire Maigret|a fictional detective in novels by Georges Simenon
King Lear|the hero of William Shakespeare's tragedy who was betrayed and mistreated by two of his scheming daughters
Lilliputian|a 6-inch tall inhabitant of Lilliput in a novel by Jonathan Swift
Philip Marlowe|tough cynical detective (one of the early detective heroes in American fiction) created by Raymond Chandler
Mephistopheles|evil spirit to whom Faust sold his soul
Wilkins Micawber|fictional character created by Charles Dickens; an eternal optimist
Pantaloon|a buffoon in modern pantomimes; the butt of jokes
Pied Piper of Hamelin|the title character in a German folk tale and in a poem by Robert Browning
Huck Finn|a mischievous boy in a novel by Mark Twain
Tarzan of the Apes|a man raised by apes who was the hero of a series of novels by Edgar Rice Burroughs
Sherlock Holmes|a fictitious detective in stories by A. Conan Doyle
Sinbad the Sailor|in the Arabian Nights a hero who tells of the fantastic adventures he had in his voyages
Ananias|a habitual liar (after a New Testament character who was struck dead for lying)
Ashkenazi|a Jew of eastern European or German descent
Conservative Jew|Jew who keeps some requirements of Mosaic law but adapts others to suit modern circumstances
Contra|a member of the guerrilla force that opposed a left-wing government in Nicaragua
African|a native or inhabitant of Africa
Black African|an African who is Black
Afrikaner|a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans
Aryan|a member of the prehistoric people who spoke Proto-Indo European
Aryan|(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew)
Black|a person with African ancestry, "Negro" and "Negroid" are archaic and pejorative today
White|a Caucasian
Circassian|a member of the Sunni Muslim people living in northwestern Caucasia
Abkhaz|a member of the Circassian people who live to the east of the Black Sea
Semite|a member of a group of Semitic-speaking peoples of the Middle East and northern Africa
Babylonian|an inhabitant of ancient Babylon
Chaldean|an inhabitant of ancient Chaldea
Assyrian|an inhabitant of ancient Assyria
Kassite|a member of an ancient people who ruled Babylonia between 1600 and 1200 BC
Elamite|a member of an ancient warlike people living in Elam east of Babylonia as early as 3000 BC
Phoenician|a member of an ancient Semitic people who dominated trade in the first millennium B.C.
Asian|a native or inhabitant of Asia
Asian American|an American who is of Asian descent
Evenki|a member of the people inhabiting an area of northern Mongolia and eastern Siberia
Mongol|a member of the nomadic peoples of Mongolia
Tatar|a member of the Turkic-speaking people living from the Volga to the Ural Mountains (the name has been attributed to many other groups)
Udmurt|a member of the Finno-Ugric-speaking people living in eastern European Russia
Tatar|a member of the Mongolian people of central Asia who invaded Russia in the 13th century
Native American|any member of the peoples living in North or South America before the Europeans arrived
Abnaki|a member of the Algonquian people of Maine and southern Quebec
Achomawi|a member of the Achomawi community of northeastern California
Akwa'ala|a member of the Akwa'ala community in Baja California
Alabama|a member of the Muskhogean people formerly living in what is now the state of Alabama; "the Alabamas were members of the Creek Confederacy"
Algonkian|a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec
Algonquian|a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast
Native American|a Native American who lived in what is now southern Colorado and Utah and northern Arizona and New Mexico and who built cliff dwellings
Atakapa|a member of an Indian people formerly living along the Gulf Coast of Louisiana and Texas
Athapaskan|a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska
Mayan|a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy; "Mayans had a system of writing and an accurate calendar"
Native American|a member of any of various Indian peoples of central Mexico
Aztec|a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519
Native American|a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC
Toltec|a member of the Nahuatl speaking people of central and southern Mexico
Zapotec|a member of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900
Buffalo Indian|a member of one of the tribes of American Indians who lived a nomadic life following the buffalo in the Great Plains of North America
Apache|any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico); fought a losing battle from 1861 to 1886 with the United States and were resettled in Oklahoma
Arapaho|a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)
Arikara|a member of the Caddo people who formerly lived in the Dakotas west of the Missouri river
Atsugewi|a member of a North American Indian people of northern California
Biloxi|a member of the Siouan people of southeastern Mississippi
Blackfoot|a member of a warlike group of Algonquians living in the northwestern plains
Brule|a member of a group of Siouan people who constituted a division of the Teton Sioux
Plains Indian|a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas
Cakchiquel|a member of the Mayan people living in south central Guatemala
Catawba|a member of the Siouan people formerly living in the Carolinas
Cayuga|a member of an Iroquoian people formerly living around Cayuga Lake in New York State
Cherokee|a member of an Iroquoian people formerly living in the Appalachian Mountains but now chiefly in Oklahoma
Cheyenne|a member of a North American Indian people living on the western plains (now living in Oklahoma and Montana)
Native American|a member of the Muskhogean people formerly living in northern Mississippi
Chimakum|a member of the Salishan people living in northwestern Washington
Chimariko|a member of an extinct North American Indian people formerly living in California
Chinook|a member of an important North American Indian people who controlled the mouth of the Columbia river; they were organized into settlements rather than tribes
Chipewyan|a member of the Athapaskan people living in western Canada between Great Slave Lake and Hudson Bay
Choctaw|a member of the Muskhogean people formerly living in Alabama
Cochimi|a member of a North American Indian people living in central Baja California
Cocopa|a member of a North American Indian people living around the mouth of the Colorado River
Native American|a member of an Amerindian people living in northern Idaho around Coeur d'Alene Lake
Comanche|a member of the Shoshonean people who formerly lived between Wyoming and the Mexican border but are now chiefly in Oklahoma
Conoy|a member of an Algonquian people formerly living in Maryland between Chesapeake Bay and the Potomac river; allies of the Nanticoke people
Costanoan|a member of a North American Indian people living in coastal California between Monterey and San Francisco Bay
Cree|a member of an Algonquian people living in central Canada
Native American|any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma
Crow|a member of the Siouan people formerly living in eastern Montana
Dakota|a member of the Siouan people of the northern Mississippi valley; commonly called the Sioux
Delaware|a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania
Dhegiha|any member of a Siouan people speaking one of the Dhegiha languages
Diegueno|a member of a North American Indian people of southern California
Erie|a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York
Esselen|a member of a North American Indian people living on the California coast near Monterey
Essene|a member of an ascetic Jewish sect around the time of Jesus
Eyeish|a member of the Caddo people of northeastern Texas
Fox|a member of an Algonquian people formerly living west of Lake Michigan along the Fox River
Native American|a member of a seafaring group of North American Indians who lived on the Pacific coast of British Columbia and southwestern Alaska
Halchidhoma|a member of a North American Indian people of the Colorado river valley near the mouth of the Gila river; allied to the Maricopa
Havasupai|a member of a North American Indian people of Cataract Canyon in Arizona
Gros Ventre|a member of the Sioux people formerly inhabiting an area along the Missouri river in western North Dakota
Hitchiti|a member of the Muskhogean people formerly living in Georgia; a member of the Creek Confederacy
Hopi|a member of the Shoshonean people of northeastern Arizona
Hokan|a member of a North American Indian people speaking one of the Hokan languages
Hunkpapa|a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains
Hupa|a member of the Athapaskan people of the Trinity River valley in California
Illinois|a member of the Algonquian people formerly of Illinois and regions to the west
Iowa|a member of the Siouan people formerly living in Iowa and Minnesota and Missouri
Native American|any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution
Kalapooia|a member of the North American Indian people of Oregon
Kamia|a member of a North American Indian people of southeastern California and northwestern Mexico
Kansa|a member of the Siouan people of the Kansas river valley in Kansas
Karok|a member of a North American Indian people of the Klamath river valley in northern California
Kekchi|a member of a Mayan people of north central Guatemala
Kichai|a member of a Caddo people formerly living in north central Texas
Kickapoo|a member of the Algonquian people formerly inhabiting southern Wisconsin and northern Illinois
Kiliwa|a member of a North American Indian people living in northern Baja California
Plains Indian|a member of a Tanoan people living in the southwestern United States
Koasati|a member of the Muskhogean people formerly living in northern Alabama; a member of the Creek Confederacy
Kusan|a member of the North American Indian people of Oregon
Kwakiutl|a member of the Wakashan people living around Queen Charlotte Sound and on northern Vancouver Island
Maidu|a member of a North American Indian people living east of the Sacramento river in California
Malecite|a member of the Algonquian people of northeastern Maine and New Brunswick
Mam|a member of a Mayan people of southwestern Guatemala
Maricopa|a member of a North American Indian people of the Gila river valley in Arizona
Massachuset|a member of the Algonquian people who formerly lived around Massachusetts Bay
Mattole|a member of the Athapaskan people living in northwestern California
Menomini|a member of the federally recognized tribe of Algonquian people living on a reservation in central Wisconsin
Miniconju|a member of a group of Siouan people who constituted a division of the Teton Sioux
Missouri|a member of the Siouan people formerly inhabiting the valley of the Missouri river in Missouri
Miami|a member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan
Micmac|a member of the Algonquian people inhabiting the Maritime Provinces of Canada
Miwok|a member of the North American Indian people living in the central Sierra Nevada in California
Mohave|a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California
Mohawk|a member of the Iroquoian people formerly living along the Mohawk River in New York State
Mohican|a member of the Algonquian people formerly living in the Hudson valley and eastward to the Housatonic
Muskhogean|a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages
Muskogee|a member of the Muskhogean people formerly living in Georgia and eastern Alabama and constituting the core of the Creek Confederacy
Nanticoke|a member of the Algonquian people formerly of Maryland and eastern Delaware
Navaho|a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah
Nez Perce|a member of a tribe of the Shahaptian people living on the pacific coast
Nootka|a member of the Wakashan people living on Vancouver Island and in the Cape Flattery region of northwestern Washington
Ofo|a member of the Siouan people living in the Yazoo river valley in Mississippi
Oglala|a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota
Ojibwa|a member of an Algonquian people who lived west of Lake Superior
Omaha|a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska
Osage|a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century
Oneida|a member of the Iroquoian people formerly living east of Lake Ontario
Onondaga|a member of the Iroquoian people formerly living between Lake Champlain and the Saint Lawrence River
Oto|a member of the Siouan people inhabiting the valleys of the Platte and Missouri rivers in Nebraska
Ottawa|a member of the Algonquian people of southern Ontario
Paiute|a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States
Pamlico|a member of the Algonquian people formerly of the Pamlico river valley in North Carolina
Passamaquody|a member of the Algonquian people related to the Malecite and living in northeastern Maine and New Brunswick
Patwin|a member of the North American Indian people living in the Sacramento valley in California
Pawnee|a member of the Pawnee nation formerly living in Nebraska and Kansas but now largely in Oklahoma
Penobscot|a member of the Algonquian people belonging to the Abnaki confederacy and living in the Penobscot valley in northern Maine
Native American|a member of a North American Indian people speaking one of the Penutian languages
Plains Indian|a member of the North American Indian people living in southern Arizona and northern Mexico
Pomo|a member of an Indian people of northern California living along the Russian River valley and adjacent Pacific coast
Ponca|a member of the Siouan people of the Missouri river valley in northeastern Nebraska
Potawatomi|a member of the Algonquian people originally of Michigan and Wisconsin
Powhatan|a member of the Algonquian people who formerly lived in eastern Virginia
Native American|a member of any of about two dozen Native American peoples called `Pueblos' by the Spanish because they live in pueblos (villages built of adobe and rock)
Quapaw|a member of the Siouan people of the Arkansas river valley in Arkansas
Quiche|a member of the Mayan people of south central Guatemala
Redskin|(slang) offensive term for Native Americans
Native American|a member of a group of North American Indians speaking a Salishan language and living on the northwest coast of North America
Santee Sioux|a member of the eastern branch of the Sioux
Sauk|a member of the Algonquian people formerly living in Wisconsin in the Fox River valley and on the shores of Green Bay
Seminole|a member of the Muskhogean people who moved into Florida in the 18th century
Seneca|a member of the Iroquoian people formerly living in New York State south of Lake Ontario
Shahaptian|a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho
Shasta|a member of the Indian people of northern California and southern Oregon
Shawnee|a member of the Algonquian people formerly living along the Tennessee river
Shoshone|a member of the North American Indian people (related to the Aztecs) of the southwestern United States
Sihasapa|a member of a group of Siouan people who constituted a division of the Teton Sioux
Sioux|a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains
Teton|a member of the large western branch of Sioux people which was made up of several groups that lived on the plains
Skagit|a member of the Salish people in northwestern Washington
Takelma|a member of a North American Indian people of southwestern Oregon
Taos|a member of the Pueblo people living in northern New Mexico
Taracahitian|a member of a group of peoples of Mexico
Cahita|a member of the Taracahitian people of central Mexico
Tarahumara|a member of the Taracahitian people of north central Mexico
Native American|a member of a seafaring group of North American Indians living in southern Alaska
Tsimshian|a member of a Penutian people who lived on rivers and a sound in British Columbia
Tuscarora|a member of an Iroquois people who formerly lived in North Carolina and then moved to New York State and joined the Iroquois
Tutelo|a member of the Siouan people of Virginia and North Carolina
Two Kettle|a member of the Siouan people who constituted a division of the Teton Sioux
Ute|a member of the Shoshonean people of Utah and Colorado and New Mexico
Native American|a member of one of the peoples in British Columbia and Washington who speak the Wakashan language
Wampanoag|a member of the Algonquian people of Rhode Island and Massachusetts who greeted the Pilgrims
Walapai|a member of a North American people formerly living in the Colorado river valley in Arizona
Wichita|a member of the Caddo people formerly living between Kansas and central Texas
Winnebago|a member of the Siouan-speaking people formerly living in eastern Wisconsin south of Green Bay; ally of the Menomini and enemy of the Fox and Sauk people
Wintun|a member of a North American Indian people living in the Sacramento valley in California
Yahi|a member of an extinct North American Indian people who lived in northern California
Yana|a member of an extinct North American Indian people who lived in northern California
Yavapai|a member of a North American Indian people of central Arizona
Yokuts|a member of the North American Indian people of the San Joaquin Valley
Yucatec|a member of the Mayan people of the Yucatan peninsula in Mexico
Yuma|a member of the North American Indian people of Arizona and adjacent Mexico and California
Zuni|a member of the Pueblo people living in western New Mexico
Indian|a native or inhabitant of India
Assamese|native or inhabitant of the state of Assam in northeastern India
Dravidian|a member of one of the aboriginal inhabitants of India
Badaga|a member of an agricultural people of southern India
Gadaba|a member of an agricultural people in southeastern India
Gond|a member of a formerly tribal people in south central India
Kanarese|a member of a Kannada-speaking group of people living chiefly in Kanara in southern India
Kolam|a member of a formerly tribal people now living in south central India
Kota|a member of the Dravidian people living in the Nilgiri Hills in southern India
Kui|a member of the Dravidian people living in southeastern India
Malto|a member of the Dravidian people living in northern Bengal in eastern India
Savara|a member of the Dravidian people living in southern India
Tamil|a member of the mixed Dravidian and Caucasian people of southern India and Sri Lanka
Telugu|a member of the people in southeastern India (Andhra Pradesh) who speak the Telugu language
Toda|a member of a pastoral people living in the Nilgiri Hills of southern India
Tulu|a member of a Dravidian people living on the southwestern coast of India
Gujarati|a member of the people of Gujarat
Kashmiri|a member of the people of Kashmir
Oriya|a member of a people in India living in Orissa and neighboring areas
Punjabi|a member of the people of Pakistan and Punjab
Maratha|a member of a people of India living in Maharashtra
Slavic people|group of people speaking a Slavonic language
Slav|any member of the people of eastern Europe or Asian Russia who speak a Slavonic language
French Canadian|an early French settler in the Maritimes
Cajun|a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
Anabaptist|adherent of Anabaptism
Mennonite|a member of an Anabaptist movement in Holland noted for its simplicity of life
Amish|an American follower of the Mennonite religion
Dunker|an adherent of Baptistic doctrines (who practice baptism by immersion)
Christian|a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
Christian Scientist|a member of the Protestant church founded in the United States by Mary Baker Eddy
Adventist|a member of Christian denomination that expects the imminent advent of Christ
Protestant|an adherent of Protestantism
Friend|a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)
Catholic|a member of a Catholic church
Anglican Catholic|a member of the Anglican Church who emphasizes its Catholic character
Greek Catholic|a member of the Greek Orthodox Church
Roman Catholic|a member of the Roman Catholic Church
Uniat|a member of the Uniat Church
Copt|a member of the Coptic Church
Jew|a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties
Jewess|a woman who is a Jew
Muslim|a believer in or follower of Islam
Islamist|an orthodox Muslim
Almoravid|a member of a Muslim dynasty of Berber warriors that flourished from 1049 to 1145 and that established political dominance over northwestern Africa and Spain
Jihadist|a Muslim who is involved in a jihad
Shiite|a member of the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs
Sunnite|a member of the branch of Islam that accepts the first four caliphs as rightful successors to Muhammad
Buddhist|one who follows the teachings of Buddha
Zen Buddhist|an adherent of the doctrines of Zen Buddhism
Mahayanist|an adherent of Mahayana Buddhism
Hinayanist|an adherent of Hinayana Buddhism
Lamaist|(Buddhism) an adherent of Lamaism
Tantrist|an adherent of Tantrism
Hindu|a person who adheres to Hinduism
Jainist|a believer in Jainism
Hare Krishna|worshipper of Krishna and member of the International Society for Krishna Consciousness
Shaktist|worshipper of Shakti
Shivaist|worshipper of Shiva
Vaishnava|worshipper of Vishnu
Shintoist|a believer in Shintoism
Rastafarian|follower of Rastafarianism
Mithraist|adherent of Mithraism
Zoroastrian|follower of Zoroaster and Zoroastrianism
Eurafrican|a person of mixed European and African descent
Eurasian|a person of mixed European and Asian descent
European|a native or inhabitant of Europe
Celt|a member of a European people who once occupied Britain and Spain and Gaul prior to Roman times
Gael|a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man
Briton|an inhabitant of southern Britain prior to the Anglo-Saxon invasions
Gaul|a Celt of ancient Gaul
Galatian|a native or inhabitant of Galatia in Asia Minor (especially a member of a people believed to have been Gauls who conquered Galatia in the 3rd century BC)
Frank|a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
Salian Frank|a member of the tribe of Franks who settled in the Netherlands in the 4th century AD
Teuton|a member of the ancient Germanic people who migrated from Jutland to southern Gaul and were annihilated by the Romans
Afghan|a native or inhabitant of Afghanistan
Kafir|a member of the Kafir people in northeastern Afghanistan
Pathan|a member of the mountain people living in the eastern regions of Afghanistan; "Pathans are the predominant ethnic group in Afghanistan"
Albanian|a native or inhabitant of Albania
Algerian|a native or inhabitant of Algeria
Altaic|any member of the peoples speaking a language in the Altaic language group
Armenian|a native or inhabitant of Armenia
Andorran|a native or inhabitant of Andorra
Angolan|a native or inhabitant of Angola
Angolese|a member of the Bantu tribes resident in Angola
Anguillan|a native or inhabitant of the island of Anguilla in the West Indies
Antiguan|a native or inhabitant of Antigua
Argentinian|a native or inhabitant of Argentina
Australian|a native or inhabitant of Australia
Austronesian|a native or inhabitant of Austronesia
Austrian|a native or inhabitant of Austria
Bahamian|a native or inhabitant of the Bahamas
Bahraini|a native or inhabitant of Bahrain
Bangladeshi|a native or inhabitant of Bangladesh
Basotho|a member of a subgroup of people who inhabit Lesotho
Basque|a member of a people of unknown origin living in the western Pyrenees in France and Spain
Bengali|(Hinduism) a member of a people living in Bangladesh and West Bengal (mainly Hindus)
Bantu|a member of any of a large number of linguistically related peoples of Central and South Africa
Herero|a member of a pastoral Bantu people living in Namibia, Botswana, and Angola
Hutu|a member of a Bantu people living in Rwanda and Burundi
Luba|a member of a Bantu people in southeastern Congo
Sotho|a member of the Bantu people who inhabit Botswana, Lesotho, and northern South Africa and who speak the Sotho languages
Tswana|a member of a Bantu people living chiefly in Botswana and western South Africa
Tutsi|a member of a Bantu speaking people living in Rwanda and Burundi
Barbadian|a native or inhabitant of Barbados
Belgian|a native or inhabitant of Belgium
Beninese|a native or inhabitant of Benin
Bermudan|a native or inhabitant of Bermuda
Bhutanese|a native or inhabitant of Bhutan
South American|a native or inhabitant of Bolivia
Bornean|a native or inhabitant of Borneo
South American|a native or inhabitant of Brazil
Carioca|a native or inhabitant of Rio de Janeiro
South American|a member of the South American Indian people living in Brazil and Paraguay
South American|a member of the South American people living in Paraguay and Bolivia
South American|a member of the South American people living in Argentina and Bolivia and Paraguay
Bruneian|a native or inhabitant of Brunei
Bulgarian|a native or inhabitant of Bulgaria
Burmese|a native or inhabitant of Myanmar
Burundian|a native or inhabitant of Burundi
Byelorussian|a native or inhabitant of Byelorussia
Byzantine|a native or inhabitant of Byzantium or of the Byzantine Empire
Cambodian|a native or inhabitant of Cambodia
Cameroonian|a native or inhabitant of Cameroon
Canadian|a native or inhabitant of Canada
French Canadian|a Canadian descended from early French settlers and whose native language is French
French Canadian|informal term for Canadians in general and French Canadians in particular
Carthaginian|a native or inhabitant of ancient Carthage
Cebuan|inhabitant of the island of Cebu; a member of the Visayan people of the Philippines
Chadian|a native or inhabitant of Chad
Chewa|a member of the Bantu-speaking people of Malawi and eastern Zambia and northern Zimbabwe
Chilean|a native or inhabitant of Chile
Chinese|a native or inhabitant of Communist China or of Nationalist China
Colombian|a native or inhabitant of Colombia
Congolese|a native or inhabitant of the Republic of the Congo
Central American|a native or inhabitant of Costa Rica
Cuban|a native or inhabitant of Cuba
Cypriot|a native or inhabitant of Cyprus
Czechoslovakian|a native or inhabitant of the former republic of Czechoslovakia
Czech|a native of inhabitant of the Czech Republic
Slovak|a native or inhabitant of Slovakia
Dane|a native or inhabitant of Denmark
Dutch people|the people of the Netherlands; "the Dutch are famous for their tulips"
Frisian|a native or inhabitant of Friesland or Frisia
Zealander|a native or inhabitant of Zealand
Djiboutian|a native or inhabitant of Djibouti
East Indian|a native or inhabitant of the East Indies
Ecuadorian|a native or inhabitant of Ecuador
Egyptian|a native or inhabitant of Egypt
Copt|an Egyptian descended from the ancient Egyptians
Salvadoran|a native or inhabitant of El Salvador
Britisher|a native or inhabitant of Great Britain
English person|a native or inhabitant of England
English person|a man who is a native or inhabitant of England
English person|a woman who is a native or inhabitant of England
Anglo-Saxon|a native or inhabitant of England prior to the Norman Conquest
English person|a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant'; "in the ninth century the Vikings began raiding the Anglo-Saxons in Britain"; "his ancestors were not just British, they were Anglo-Saxons"
Anglo-Indian|a person of English citizenship born or living in India
Angle|a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
Saxon|a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman Conquest
West Saxon|an inhabitant of Wessex
Jute|a member of a Germanic people who conquered England and merged with the Angles and Saxons to become Anglo-Saxons
Lombard|a member of a Germanic people who invaded northern Italy in the 6th century
John Bull|a man of English descent
English person|a resident of Cambridge
Cornishman|a man who is a native or inhabitant of Cornwall
Cornishwoman|a woman who is a native or resident of Cornwall
English person|a resident of Lancaster
English person|a member (or supporter) of the house of Lancaster
English person|a native of Newcastle-upon-Tyne
Hanoverian|a member (or supporter) of the house of Hanover
Liverpudlian|a native or resident of Liverpool
Londoner|a native or resident of London
Cockney|a native of the east end of London
Mancunian|a native or resident of Manchester
Oxonian|a native or resident of Oxford
Ethiopian|a native or inhabitant of Ethiopia
Ewe|a member of a people living in southern Benin and Togo and southeastern Ghana
Fulani|a member of a pastoral and nomadic people of western Africa; they are traditionally cattle herders of Muslim faith
Amhara|a member of the Semitic speaking people of northern Ethiopia
Eritrean|a native or inhabitant of Eritrea
Fijian|a native or inhabitant of Fiji
Finn|a native or inhabitant of Finland
Fleming|a native of Flanders or a Flemish-speaking Belgian
Komi|a member of a Finnish people living in the northwestern Urals in Russia
Cheremis|a member of a rural Finnish people living in eastern Russia
